xrun: 25.03-s001: (c) Copyright 1995-2025 Cadence Design Systems, Inc.
	Top level design units:
		tb
Loading snapshot worklib.tb:sv .................... Done
xcelium> source /xcelium25.03/tools/xcelium/files/xmsimrc
xcelium> run
==========================================
Starting RISC-V CPU Simulation
==========================================
Time=0 | PC=0 | writeData=0
Time=15000 | PC=4 | writeData=0
Time=25000 | PC=8 | writeData=0
Time=35000 | PC=c | writeData=x
Time=45000 | PC=10 | writeData=0
Time=55000 | PC=14 | writeData=25
Time=65000 | PC=18 | writeData=0
Time=75000 | PC=1c | writeData=1
Time=85000 | PC=20 | writeData=0
Time=95000 | PC=24 | writeData=0
Time=105000 | PC=28 | writeData=x
Time=115000 | PC=c | writeData=x
Time=125000 | PC=10 | writeData=0
Time=135000 | PC=14 | writeData=0
Time=145000 | PC=18 | writeData=0
Time=155000 | PC=1c | writeData=1
Time=165000 | PC=20 | writeData=0
Time=175000 | PC=24 | writeData=0
Time=185000 | PC=28 | writeData=x
Time=195000 | PC=c | writeData=x
Time=205000 | PC=10 | writeData=0
Time=215000 | PC=14 | writeData=0
Time=225000 | PC=18 | writeData=0
Time=235000 | PC=1c | writeData=2
Time=245000 | PC=20 | writeData=0
Time=255000 | PC=24 | writeData=0
Time=265000 | PC=28 | writeData=x
Time=275000 | PC=c | writeData=x
Time=285000 | PC=10 | writeData=0
Time=295000 | PC=14 | writeData=0
Time=305000 | PC=18 | writeData=0
Time=315000 | PC=1c | writeData=3
Time=325000 | PC=20 | writeData=0
Time=335000 | PC=24 | writeData=0
Time=345000 | PC=28 | writeData=x
Time=355000 | PC=c | writeData=x
Time=365000 | PC=10 | writeData=0
Time=375000 | PC=14 | writeData=0
Time=385000 | PC=18 | writeData=0
Time=395000 | PC=1c | writeData=5
Time=405000 | PC=20 | writeData=0
Time=415000 | PC=24 | writeData=0
Time=425000 | PC=28 | writeData=x
Time=435000 | PC=c | writeData=x
Time=445000 | PC=10 | writeData=0
Time=455000 | PC=14 | writeData=0
Time=465000 | PC=18 | writeData=0
Time=475000 | PC=1c | writeData=8
Time=485000 | PC=20 | writeData=0
Time=495000 | PC=24 | writeData=0
Time=505000 | PC=28 | writeData=x
Time=515000 | PC=c | writeData=x
Time=525000 | PC=10 | writeData=0
Time=535000 | PC=14 | writeData=0
Time=545000 | PC=18 | writeData=0
Time=555000 | PC=1c | writeData=13
Time=565000 | PC=20 | writeData=0
Time=575000 | PC=24 | writeData=0
Time=585000 | PC=28 | writeData=x
Time=595000 | PC=c | writeData=x
Time=605000 | PC=10 | writeData=0
Time=615000 | PC=14 | writeData=0
Time=625000 | PC=18 | writeData=0
Time=635000 | PC=1c | writeData=21
Time=645000 | PC=20 | writeData=0
Time=655000 | PC=24 | writeData=0
Time=665000 | PC=28 | writeData=x
Time=675000 | PC=c | writeData=x
Time=685000 | PC=10 | writeData=0
Time=695000 | PC=14 | writeData=0
Time=705000 | PC=18 | writeData=0
Time=715000 | PC=1c | writeData=34
Time=725000 | PC=20 | writeData=0
Time=735000 | PC=24 | writeData=0
Time=745000 | PC=28 | writeData=x
Time=755000 | PC=c | writeData=x
Time=765000 | PC=10 | writeData=0
Time=775000 | PC=14 | writeData=0
Time=785000 | PC=18 | writeData=0
Time=795000 | PC=1c | writeData=55
Time=805000 | PC=20 | writeData=0
Time=815000 | PC=24 | writeData=0
Time=825000 | PC=28 | writeData=x
Time=835000 | PC=c | writeData=x
Time=845000 | PC=10 | writeData=0
Time=855000 | PC=14 | writeData=0
Time=865000 | PC=18 | writeData=0
Time=875000 | PC=1c | writeData=89
Time=885000 | PC=20 | writeData=0
Time=895000 | PC=24 | writeData=0
Time=905000 | PC=28 | writeData=x
Time=915000 | PC=c | writeData=x
Time=925000 | PC=10 | writeData=0
Time=935000 | PC=14 | writeData=0
Time=945000 | PC=18 | writeData=0
Time=955000 | PC=1c | writeData=144
Time=965000 | PC=20 | writeData=0
Time=975000 | PC=24 | writeData=0
Time=985000 | PC=28 | writeData=x
Time=995000 | PC=c | writeData=x
Time=1005000 | PC=10 | writeData=0
Time=1015000 | PC=14 | writeData=0
Time=1025000 | PC=18 | writeData=0
Time=1035000 | PC=1c | writeData=233
Time=1045000 | PC=20 | writeData=0
Time=1055000 | PC=24 | writeData=0
Time=1065000 | PC=28 | writeData=x
Time=1075000 | PC=c | writeData=x
Time=1085000 | PC=10 | writeData=0
Time=1095000 | PC=14 | writeData=0
Time=1105000 | PC=18 | writeData=0
Time=1115000 | PC=1c | writeData=377
Time=1125000 | PC=20 | writeData=0
Time=1135000 | PC=24 | writeData=0
Time=1145000 | PC=28 | writeData=x
Time=1155000 | PC=c | writeData=x
Time=1165000 | PC=10 | writeData=0
Time=1175000 | PC=14 | writeData=0
Time=1185000 | PC=18 | writeData=0
Time=1195000 | PC=1c | writeData=610
Time=1205000 | PC=20 | writeData=0
Time=1215000 | PC=24 | writeData=0
Time=1225000 | PC=28 | writeData=x
Time=1235000 | PC=c | writeData=x
Time=1245000 | PC=10 | writeData=0
Time=1255000 | PC=14 | writeData=0
Time=1265000 | PC=18 | writeData=0
Time=1275000 | PC=1c | writeData=987
Time=1285000 | PC=20 | writeData=0
Time=1295000 | PC=24 | writeData=0
Time=1305000 | PC=28 | writeData=x
Time=1315000 | PC=c | writeData=x
Time=1325000 | PC=10 | writeData=0
Time=1335000 | PC=14 | writeData=0
Time=1345000 | PC=18 | writeData=0
Time=1355000 | PC=1c | writeData=1597
Time=1365000 | PC=20 | writeData=0
Time=1375000 | PC=24 | writeData=0
Time=1385000 | PC=28 | writeData=x
Time=1395000 | PC=c | writeData=x
Time=1405000 | PC=10 | writeData=0
Time=1415000 | PC=14 | writeData=0
Time=1425000 | PC=18 | writeData=0
Time=1435000 | PC=1c | writeData=2584
Time=1445000 | PC=20 | writeData=0
Time=1455000 | PC=24 | writeData=0
Time=1465000 | PC=28 | writeData=x
Time=1475000 | PC=c | writeData=x
Time=1485000 | PC=10 | writeData=0
Time=1495000 | PC=14 | writeData=0
Time=1505000 | PC=18 | writeData=0
Time=1515000 | PC=1c | writeData=4181
Time=1525000 | PC=20 | writeData=0
Time=1535000 | PC=24 | writeData=0
Time=1545000 | PC=28 | writeData=x
Time=1555000 | PC=c | writeData=x
Time=1565000 | PC=10 | writeData=0
Time=1575000 | PC=14 | writeData=0
Time=1585000 | PC=18 | writeData=0
Time=1595000 | PC=1c | writeData=6765
Time=1605000 | PC=20 | writeData=0
Time=1615000 | PC=24 | writeData=0
Time=1625000 | PC=28 | writeData=x
Time=1635000 | PC=c | writeData=x
Time=1645000 | PC=10 | writeData=0
Time=1655000 | PC=14 | writeData=0
Time=1665000 | PC=18 | writeData=0
Time=1675000 | PC=1c | writeData=10946
Time=1685000 | PC=20 | writeData=0
Time=1695000 | PC=24 | writeData=0
Time=1705000 | PC=28 | writeData=x
Time=1715000 | PC=c | writeData=x
Time=1725000 | PC=10 | writeData=0
Time=1735000 | PC=14 | writeData=0
Time=1745000 | PC=18 | writeData=0
Time=1755000 | PC=1c | writeData=17711
Time=1765000 | PC=20 | writeData=0
Time=1775000 | PC=24 | writeData=0
Time=1785000 | PC=28 | writeData=x
Time=1795000 | PC=c | writeData=x
Time=1805000 | PC=10 | writeData=0
Time=1815000 | PC=14 | writeData=0
Time=1825000 | PC=18 | writeData=0
